dest_ip,dest_port
103.156.16.251,8080
153.122.45.145,20001
89.117.145.245,3128
192.203.0.254,999
89.213.106.253,999
119.93.33.130,8082
101.255.208.98,8082
43.167.217.93,13001
43.167.213.208,13001
103.165.156.186,8090
43.167.178.163,13001
121.200.50.33,3128
103.80.87.70,3128
43.167.158.76,13001
115.178.49.119,8080
43.167.203.75,13001
185.79.243.74,8080
103.220.23.211,8080
128.199.254.13,9090
185.19.4.22,3128
154.0.14.116,3128
147.75.34.92,9401
103.165.157.123,8085
80.91.116.129,8081
181.204.81.178,999
188.208.197.68,3128
102.222.161.143,3128
45.126.124.172,8080
45.196.241.4,8001
34.143.143.61,7777
45.189.116.214,8889
45.140.143.77,18080
103.154.77.64,89
180.191.42.241,8082
154.27.196.213,999
