dest_ip,dest_port,dest_country,metadata_file
190.15.211.43,8080,Mexico,http.txt
91.103.120.39,80,Taiwan,http.txt
91.103.120.40,80,Hong Kong,http.txt
91.103.120.37,80,Japan,http.txt
91.103.120.57,80,Hong Kong,http.txt
123.140.146.23,5031,South Korea,http.txt
123.140.160.47,5031,South Korea,http.txt
123.140.160.68,5031,South Korea,http.txt
103.172.71.149,8181,Indonesia,http.txt
54.250.76.76,3128,Japan,http.txt
103.102.139.97,8080,Bangladesh,http.txt
91.103.120.48,80,Hong Kong,http.txt
190.52.99.220,999,Venezuela,http.txt
89.58.38.239,3128,Germany,http.txt
149.200.200.44,80,Jordan,http.txt
171.100.232.32,8080,Thailand,http.txt
192.206.202.1,8888,United States,http.txt
45.189.151.17,999,Mexico,http.txt
103.39.51.190,8080,Indonesia,http.txt
103.193.145.25,1080,Indonesia,http.txt
103.163.171.202,5126,Bangladesh,http.txt
180.180.92.255,8080,Thailand,http.txt
201.150.118.145,999,Mexico,http.txt
45.71.200.174,999,Ecuador,http.txt
201.150.116.32,999,Mexico,http.txt
201.150.116.3,999,Mexico,http.txt
103.133.61.164,1010,Indonesia,http.txt
103.154.152.104,2020,Indonesia,http.txt
103.191.254.134,8080,Indonesia,http.txt
67.43.228.250,33085,Venezuela,http.txt
134.209.180.218,3128,United Kingdom,http.txt
5.231.211.181,3128,Germany,http.txt
185.4.229.132,8080,Finland,http.txt
72.10.164.178,24299,Myanmar,http.txt
103.158.162.18,8080,Indonesia,http.txt
203.81.81.226,8055,Myanmar,http.txt
78.9.234.55,8080,Poland,http.txt
45.178.55.2,999,Argentina,http.txt
197.164.112.173,8080,Egypt,http.txt
78.38.53.36,80,The Netherlands,http.txt
31.56.87.3,80,United Arab Emirates,http.txt
78.38.53.100,80,The Netherlands,http.txt
188.245.239.104,4001,Germany,http.txt
49.150.57.23,8082,Philippines,http.txt
134.35.4.251,8085,Yemen,http.txt
113.53.149.209,8080,Thailand,http.txt
49.49.149.76,8080,Thailand,http.txt
103.9.146.82,1111,Indonesia,http.txt
223.205.117.208,8080,Thailand,http.txt
103.39.49.109,8181,Indonesia,http.txt
115.74.6.96,31788,Vietnam,http.txt
185.139.56.133,4145,Georgia,socks4.txt
31.43.63.70,4145,Ukraine,socks4.txt
72.49.49.11,31034,United States,socks4.txt
208.102.51.6,58208,United States,socks4.txt
69.61.200.104,36181,United States,socks4.txt
66.42.224.229,41679,United States,socks4.txt
72.195.114.184,4145,United States,socks4.txt
24.249.199.12,4145,United States,socks4.txt
174.77.111.196,4145,United States,socks4.txt
174.77.111.197,4145,United States,socks4.txt
